target_id	length	eff_length	est_counts	tpm
J676757	1968	1741.18	40.0212	1.36817
J677126	2190	1963.18	21.9197	0.66461
J677325	1838	1611.18	0	0
J677436	2119	1892.18	13.0653	0.411006
J677752	769	542.503	4.80127	0.5268
J677849	341	139.322	0	0
J677856	317	120.64	4.04498	1.99579
J678607	4284	4057.18	137.004	2.01003
R664474	919	692.182	11.7755	1.01263
R664611	1237	1010.18	13.2453	0.780468
R664841	3152	2925.18	4.72563	0.0961611
R668588	861	634.382	0	0
R668992	2240	2013.18	0	0
R675963	471	251.303	0	0
R676502	669	442.883	2.62524	0.352836
R680465	2646	2419.18	1.60628e-08	3.95227e-10
R681047	3471	3244.18	127.618	2.34153
R681367	4244	4017.18	5.95953e-06	8.83045e-08
R685348	325	126.724	6.18578	2.90554
R688033	973	746.182	13.9581	1.11346
R688774	2358	2131.18	18.6521	0.520953
R689472	422	206.895	0	0
R696060	1545	1318.18	31.6156	1.42764
R707040	337	136.037	1.74038	0.761515
R712853	558	333.822	6.78651	1.21011
R717260	329	129.809	0.538775	0.247056
R721732	462	242.981	9.25143	2.26636
R721761	1308	1081.18	0	0
TRINITY_DN6603_c0_g3_i1	234	64.6954	7.94078	7.30605
TRINITY_DN6684_c0_g1_i1	294	103.93	3.37687	1.93404
TRINITY_DN9783_c0_g3_i1	252	75.6367	3	2.36092
TRINITY_DN9741_c0_g2_i1	201	46.0676	0	0
TRINITY_DN10924_c0_g3_i1	223	58.3294	2.45087	2.50107
TRINITY_DN19291_c0_g2_i1	212	52.3393	1	1.13727
TRINITY_DN8772_c0_g1_i1	868	641.382	17.1241	1.58921
TRINITY_DN8765_c0_g4_i1	905	678.25	10.9002	0.956615
TRINITY_DN9292_c0_g1_i1	368	160.677	7	2.59321
TRINITY_DN9218_c0_g1_i1	666	439.883	8.51176	1.15179
TRINITY_DN9218_c0_g3_i1	272	88.8701	7.33331	4.91176
TRINITY_DN9213_c0_g1_i2	1280	1053.18	33.0488	1.86786
TRINITY_DN14829_c0_g2_i1	241	68.926	2	1.72719
TRINITY_DN14844_c0_g1_i1	1127	900.182	10.3238	0.682654
TRINITY_DN14869_c0_g4_i1	261	81.598	3	2.18844
TRINITY_DN13424_c0_g2_i1	305	111.66	5	2.6654
TRINITY_DN1439_c1_g2_i1	1019	792.182	8.84976	0.664965
TRINITY_DN17489_c0_g1_i2	383	173.416	0	0
TRINITY_DN9421_c0_g3_i1	225	59.6101	5	4.99278
TRINITY_DN9432_c0_g3_i1	705	478.654	14.4274	1.79415
TRINITY_DN9432_c0_g6_i1	1157	930.182	20.6171	1.31932
TRINITY_DN9471_c0_g2_i1	216	54.3588	1	1.09502
TRINITY_DN11822_c0_g3_i1	213	52.8247	6.68589	7.53381
TRINITY_DN12517_c0_g2_i1	741	514.503	3.48751	0.403477
TRINITY_DN12537_c0_g2_i1	601	375.689	3.88986	0.616308
TRINITY_DN3669_c0_g7_i1	664	437.883	17.3139	2.35358
TRINITY_DN3615_c0_g1_i2	487	266.018	19.7623	4.42201
TRINITY_DN8126_c0_g5_i1	717	490.654	27.8348	3.3768
TRINITY_DN8192_c0_g6_i1	236	65.9467	0	0
TRINITY_DN11943_c0_g4_i1	253	76.1109	3	2.34621
TRINITY_DN16759_c0_g4_i1	297	106.265	3	1.68044
TRINITY_DN16760_c0_g1_i1	264	83.6039	8	5.69581
TRINITY_DN684_c0_g4_i1	209	50.5528	4	4.70985
TRINITY_DN21401_c0_g4_i1	464	244.756	2.18946	0.532471
TRINITY_DN6966_c0_g3_i1	519	296.253	5.12084	1.02889
TRINITY_DN6902_c0_g2_i1	796	569.503	3.84677	0.402062
TRINITY_DN8032_c0_g4_i1	223	58.3294	0	0
TRINITY_DN8064_c0_g2_i1	348	144.62	3.8914	1.60166
TRINITY_DN22151_c0_g1_i3	702	475.702	17.6915	2.21372
TRINITY_DN15715_c0_g3_i1	822	595.444	3.80367	0.380237
TRINITY_DN7688_c0_g2_i2	318	121.385	0	0
TRINITY_DN7611_c0_g3_i1	224	59.0061	1	1.00878
TRINITY_DN24214_c0_g1_i1	217	54.8341	2	2.17106
TRINITY_DN11009_c0_g1_i1	220	56.4606	2.38438	2.51375
TRINITY_DN23810_c0_g5_i1	216	54.3588	1	1.09502
TRINITY_DN15530_c0_g3_i1	625	399.304	25.9811	3.87299
TRINITY_DN15515_c0_g1_i1	221	57.1215	3	3.12618
TRINITY_DN15547_c0_g1_i1	610	384.537	12.5507	1.94278
TRINITY_DN1360_c0_g1_i5	1396	1169.18	0	0
TRINITY_DN1378_c0_g9_i1	669	442.883	14.2719	1.91816
TRINITY_DN5296_c0_g1_i1	300	108.237	7	3.84958
TRINITY_DN1862_c0_g1_i2	249	73.7068	0	0
TRINITY_DN1870_c0_g2_i2	983	756.182	29.8696	2.35123
TRINITY_DN1856_c0_g1_i3	699	472.702	2.2499	0.283314
TRINITY_DN18932_c0_g1_i1	266	84.9553	0	0
TRINITY_DN9032_c0_g1_i1	361	154.878	19.9832	7.68009
TRINITY_DN20590_c0_g2_i1	313	117.552	0	0
TRINITY_DN20522_c0_g2_i1	2205	1978.18	84.3988	2.53958
TRINITY_DN6360_c0_g3_i1	231	63.0054	2.4715	2.33494
TRINITY_DN24769_c0_g6_i1	241	68.926	7	6.04515
TRINITY_DN2394_c0_g1_i3	1947	1720.18	6.95866	0.240793
TRINITY_DN2344_c0_g1_i1	682	455.793	0	0
TRINITY_DN2309_c0_g2_i1	203	47.1637	3.40134	4.29274
TRINITY_DN2397_c0_g1_i1	935	708.182	12.3418	1.03735
TRINITY_DN2330_c0_g2_i1	991	764.182	8.97877	0.699379
TRINITY_DN4632_c0_g1_i1	230	62.3239	0	0
TRINITY_DN20247_c0_g3_i1	272	88.8701	0	0
TRINITY_DN20215_c1_g2_i1	225	59.6101	2	1.99711
TRINITY_DN902_c0_g1_i2	1493	1266.18	0	0
TRINITY_DN3029_c0_g3_i1	246	71.9815	2	1.65387
TRINITY_DN3072_c0_g2_i1	338	136.867	2	0.869809
TRINITY_DN16896_c0_g3_i1	235	65.2906	1	0.911679
TRINITY_DN16872_c0_g1_i1	261	81.598	2	1.45896
TRINITY_DN8512_c0_g2_i1	351	147.036	6.46452	2.61701
TRINITY_DN11255_c0_g2_i1	217	54.8341	4.21406	4.57449
TRINITY_DN22523_c0_g3_i1	796	569.503	13.4535	1.40615
TRINITY_DN22697_c0_g2_i1	249	73.7068	8	6.46063
TRINITY_DN2094_c2_g1_i4	3758	3531.18	23.0033	0.387759
TRINITY_DN5004_c0_g3_i1	549	325.253	4.79256	0.87708
TRINITY_DN5032_c0_g4_i1	270	87.5442	4.95263	3.36745
TRINITY_DN5045_c0_g3_i1	255	77.6257	1.09606	0.84047
TRINITY_DN32039_c0_g1_i1	259	80.4031	3	2.22096
TRINITY_DN5498_c0_g2_i1	643	417.139	1.5689	0.223875
TRINITY_DN5488_c0_g3_i1	653	427.012	11.9646	1.66783
