Full_TRT,Pop,trt,egg,tad,loc,ind,DateColl,JulDateCol,Date_Hatch,Jul_hatch,Date_AccStart,JulDate_AccStart,Age_Start,outcome,Date_death,Jul_Death,Date_metamorph,Jul_metamorph,time,Cause,MM_total,MM_tail,MM_weight,Final_date,Jul_Final,Final_SVL,Final_weight,observer,,
0-4-PWL-3,PWL,zerofour,0,4,inland,3,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,49.28,34.26,0.666,28-Jul,42944.00,16.17,0.38,,,
0-4-PWL-4,PWL,zerofour,0,4,inland,4,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,24-Jul,42940.00,42940,,50.77,36.42,0.79,27-Jul,42943.00,18.26,0.423,,,
0-4-PWL-5,PWL,zerofour,0,4,inland,5,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,53.34,37.64,0.808,28-Jul,42944.00,19.3,0.448,,,
0-4-PWL-6,PWL,zerofour,0,4,inland,6,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,48.36,32.07,0.629,28-Jul,42944.00,17.73,0.378,,,
0-4-PWL-7,PWL,zerofour,0,4,inland,7,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,22-Jul,42938.00,42938,,52.27,33.84,0.689,25-Jul,42941.00,17.07,0.38,,,
0-4-PWL-8,PWL,zerofour,0,4,inland,8,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,27-Jul,42943.00,42943,,54.23,34.87,0.838,30-Jul,42946.00,20.7,0.531,,,
0-4-PWL-9,PWL,zerofour,0,4,inland,9,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,23-Jul,42939.00,42939,,48.14,33.78,0.572,25-Jul,42941.00,17.33,0.377,,,
0-4-PWL-10,PWL,zerofour,0,4,inland,10,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,52.76,37.29,0.716,28-Jul,42944.00,17.99,0.405,,,
0-4-PWL-11,PWL,zerofour,0,4,inland,11,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,7-Jul,42923,,,42923,n,,,,,,,,,,
0-4-PWL-12,PWL,zerofour,0,4,inland,12,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,m,,,25-Jul,42941.00,42941,,50.42,35.5,0.729,29-Jul,42945.00,18.38,0.402,,,
0-4-PWL-13,PWL,zerofour,0,4,inland,13,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
0-4-PWL-14,PWL,zerofour,0,4,inland,14,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
0-4-PWL-15,PWL,zerofour,0,4,inland,15,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,a,20-Jul,42936,,,42936,a,,,,,,,,,,
0-6-PWL-1,PWL,zerosix,0,6,inland,1,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,3-Jul,42919,,,42919,n,,,,,,,,,,
0-6-PWL-2,PWL,zerosix,0,6,inland,2,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,3-Jul,42919,,,42919,n,,,,,,,,,,
0-6-PWL-3,PWL,zerosix,0,6,inland,3,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,3-Jul,42919,,,42919,n,,,,,,,,,,
0-6-PWL-4,PWL,zerosix,0,6,inland,4,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,3-Jul,42919,,,42919,,,,,,,,,,"guessing, got within a week, but apparently didn't record. Picked middle of week",
0-6-PWL-5,PWL,zerosix,0,6,inland,5,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,30-Jun,42916,,,42916,n,,,,,,,,,,
0-8-PWL-1,PWL,zeroeight,0,8,inland,1,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,3-Jul,42919,,,42919,n,,,,,,,,,,
0-8-PWL-2,PWL,zeroeight,0,8,inland,2,6-Jun,42892.00,6/12/17,42898.00,21-Jun,42907.00,15.00,d,3-Jul,42919,,,42919,n,,,,,,,,,,
