date,week,julian,hatch,age,egg,tad,pop,loc,ind,total,head,weight,salinity,temp,,
6/29/17,1.00,42915.00,42898.00,17.00,0,4,PWL,inland,2,20.78,8.88,0.116,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,4,PWL,inland,14,27.06,10.16,0.166,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,4,PWL,inland,9,24.56,8.41,0.123,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,0,4,PWL,inland,6,23.86,8.3,0.118,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,0,6,PWL,inland,3,18.42,7.7,0.094,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,0,6,PWL,inland,4,23.79,8.48,0.141,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,0,6,PWL,inland,5,23.91,8.75,0.133,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,6,PWL,inland,2,20.72,8.33,0.099,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,6,PWL,inland,1,25.24,8.94,0.121,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,8,PWL,inland,3,6.26,6.22,0.049,,24.4,,
6/29/17,1.00,42915.00,42898.00,17.00,0,8,PWL,inland,1,16.46,6.8,0.052,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,0,8,PWL,inland,5,17.88,6.56,0.069,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,0,8,PWL,inland,2,19.02,7.37,0.075,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,0,8,PWL,inland,4,15.97,6.48,0.048,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,1,24.12,8.22,0.11,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,8,24.31,9.13,0.127,,24.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,11,22.98,8.2,0.108,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,15,20.11,7.5,0.072,,24.6,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,7,17.53,7.43,0.057,,24.7,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,5,21.98,7.93,0.101,,25.9,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,10,22.38,7.85,0.103,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,14,25.74,9.39,0.147,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,2,20.17,7.85,0.077,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,13,21.67,8.05,0.124,,23.9,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,4,23.59,8.45,0.122,,24.2,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,3,21.13,8.18,0.095,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,9,22.79,8.19,0.106,,24.3,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,12,21.9,8.55,0.106,,23.5,,
6/29/17,1.00,42915.00,42898.00,17.00,0,0,PWL,inland,6,19.77,7.74,0.076,,23.5,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,10,45.62,14.6,0.631,,23.6,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,8,49.19,14.97,0.655,,23.6,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,9,41.04,15.77,0.574,,23.6,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,3,43.05,13.86,0.541,,23.6,,
6/30/17,3.00,42916.00,42884.00,32.00,0,0,WHF,inland,1,44.5,14.7,0.695,,23.4,,
