target_id	length	eff_length	est_counts	tpm
NODE_28291_length_359_cov_2.299342_g22692_i0	359	154.42	0	0
NODE_28765_length_351_cov_2.351351_g23163_i0	351	147.745	0	0
NODE_28791_length_351_cov_1.692568_g23189_i0	351	147.745	0	0
NODE_29263_length_342_cov_2.505226_g23660_i0	342	140.211	0	0
NODE_29265_length_342_cov_2.369338_g23662_i0	342	140.211	0	0
NODE_29784_length_334_cov_2.017921_g24178_i0	334	133.908	1.12125	0.470741
NODE_29812_length_334_cov_1.401434_g24206_i0	334	133.908	0	0
NODE_29856_length_333_cov_1.956835_g24250_i0	333	133.057	0	0
NODE_29920_length_332_cov_1.935018_g24314_i0	332	132.294	0	0
NODE_29993_length_331_cov_1.590580_g24387_i0	331	131.5	0	0
NODE_30262_length_326_cov_3.132841_g24654_i0	326	127.679	8.88172	3.91079
NODE_30412_length_324_cov_2.066914_g24803_i0	324	126.023	0	0
NODE_30646_length_321_cov_1.917293_g25037_i0	321	123.731	0	0
NODE_30728_length_320_cov_1.532075_g25118_i0	320	123.054	0	0
NODE_30783_length_319_cov_1.405303_g25173_i0	319	122.306	0	0
NODE_31095_length_314_cov_1.521236_g25483_i0	314	118.678	0	0
NODE_31166_length_313_cov_1.151163_g25554_i0	313	117.951	0	0
NODE_31302_length_311_cov_1.640625_g25690_i0	311	116.264	0	0
NODE_31912_length_302_cov_1.659919_g26298_i0	302	109.364	0	0
NODE_32115_length_299_cov_2.450820_g26500_i0	299	107.187	0	0
NODE_32298_length_297_cov_1.764463_g26683_i0	297	105.76	0	0
NODE_32886_length_289_cov_1.662393_g27271_i0	289	100.067	0	0
NODE_33378_length_283_cov_1.614035_g27763_i0	283	96.203	0	0
NODE_34767_length_266_cov_3.497630_g29151_i0	266	84.9245	0	0
NODE_35557_length_258_cov_1.709360_g29939_i0	258	79.8497	0	0
NODE_35667_length_257_cov_1.524752_g30049_i0	257	79.2686	0	0
NODE_41633_length_204_cov_1.684564_g36013_i0	204	48.2343	0	0
NODE_698_length_4521_cov_32.141329_g540_i0	4521	4299.05	335.404	4.38614
NODE_3725_length_2540_cov_15.145309_g3014_i0	2540	2318.05	0	0
NODE_6305_length_1935_cov_23.545789_g1455_i1	1935	1713.05	13.2071	0.433435
NODE_7343_length_1766_cov_3.712305_g493_i2	1766	1544.05	31.9786	1.16435
NODE_14826_length_995_cov_6.104167_g6769_i1	995	773.049	0	0
NODE_16309_length_902_cov_2.226067_g4634_i1	902	680.049	4.89568	0.404725
NODE_16854_length_869_cov_58.675060_g14026_i0	869	647.049	23.5395	2.04525
NODE_19534_length_741_cov_459.181303_g9409_i1	741	519.498	0	0
NODE_28650_length_465_cov_305.437209_g25029_i0	465	248.824	5.78844	1.30784
NODE_29866_length_442_cov_16.280098_g26227_i0	442	227.457	0	0
NODE_34012_length_372_cov_1.433234_g30342_i0	372	165.304	1.09341	0.371865
NODE_46101_length_244_cov_1.363636_g42427_i0	244	71.2088	1.28354	1.01336
NODE_47061_length_237_cov_1.767327_g43387_i0	237	67.3346	3	2.50478
NODE_48124_length_230_cov_1.830769_g44450_i0	230	63.1507	0	0
S72545	674	452.738	0	0
S91058	671	449.738	4.44529	0.555682
S95076	415	203.188	26.0422	7.20554
S110975	409	197.708	0	0
S124854	293	102.967	4.19465	2.29026
S135682	285	97.406	1.15383	0.665949
S160639	536	316.281	11.9715	2.12795
S183767	299	107.187	1.71325	0.898597
S204690	584	363.464	6.31678	0.97706
S231095	517	298.055	2.23711	0.421965
S331410	612	391.164	9.05649	1.30163
S375275	381	173.064	4.52469	1.46983
S388396	423	210.464	5.95098	1.58964
S430403	414	202.293	0	0
S439102	1414	1192.05	3.69151	0.174099
S510438	434	220.444	5.31826	1.35631
S616149	311	116.264	1.29546	0.626423
S664596	1155	933.049	58.2904	3.5122
S664995	781	559.287	5.526	0.555473
S665376	1053	831.049	0	0
S665579	303	110.118	0	0
S665820	1555	1333.05	53.1295	2.24066
S666550	2168	1946.05	6.43598	0.185929
S666938	736	514.498	9.72681	1.06285
S668958	1000	778.049	11.9954	0.866752
S669034	496	277.726	0	0
S669148	1606	1384.05	0	0
S669802	889	667.049	12.7826	1.07733
S669921	963	741.049	3.86283	0.293053
S670874	1492	1270.05	13.1939	0.584034
S672583	1246	1024.05	7.92242	0.434935
S672879	535	315.408	111.057	19.7953
S673566	777	555.287	16.806	1.70151
S673877	1101	879.049	0	0
S675467	956	734.049	0	0
S675669	2200	1978.05	20.5321	0.583556
S676031	337	136.189	0	0
S676442	1050	828.049	32.2636	2.1905
S676827	432	218.647	0.557063	0.143234
S678126	620	399.085	452.831	63.7908
S678248	2707	2485.05	23.5032	0.531716
S679063	394	184.464	14.1756	4.32032
S679446	693	471.645	13.8293	1.64844
S679633	845	623.112	22.0083	1.98567
S680382	358	153.603	0	0
S680833	1094	872.049	7.31757	0.471751
S681233	416	204.083	15.6086	4.29977
S681799	837	615.112	3.57009	0.326296
S681915	1094	872.049	38.7766	2.49986
S682895	965	743.049	0	0
S683084	531	311.597	3.0088	0.54286
S685081	1664	1442.05	46.7007	1.82067
S686407	388	179.211	2.2234	0.697494
S687538	555	335.02	0.00271616	0.000455797
S687880	283	96.203	0	0
S688251	1365	1143.05	19.7173	0.969771
S688548	1326	1104.05	40.0319	2.03847
S689160	395	185.367	0	0
S689286	969	747.049	0	0
S689525	744	522.498	10.566	1.13687
S689657	1332	1110.05	111.579	5.65103
S690306	817	595.112	6.50356	0.614383
S691387	1792	1570.05	23.4288	0.838926
S691635	1184	962.049	38.3357	2.24023
S691770	1987	1765.05	0	0
S691980	1415	1193.05	21.0133	0.990201
S692383	404	193.258	11.4759	3.33838
S692559	3023	2801.05	111.538	2.23866
S692603	903	681.049	5.28526	0.43629
S693106	991	769.049	14.1607	1.03519
