target_id	length	eff_length	est_counts	tpm
S694312	413	201.745	2.43782	0.501433
S697349	1371	1149.7	26.8266	0.968271
S698790	670	449	18.8924	1.74604
S700200	1706	1484.7	36.9138	1.03173
S701905	807	585.697	39.7428	2.81578
S702814	2561	2339.7	113.156	2.00692
S703230	956	734.697	85.2459	4.81481
S703238	635	414.385	5.25935	0.526673
S705925	2132	1910.7	0	0
S706108	3337	3115.7	110.083	1.46615
S707192	5954	5732.7	35.056	0.253757
S707471	846	624.697	14.4651	0.960872
J664606	1896	1674.7	9.61995	0.238369
J664705	792	570.754	13.5097	0.982224
J664749	1245	1023.7	0.000141836	5.74949e-06
J664958	1282	1060.7	16.7826	0.656571
J665417	921	699.697	32.8675	1.94926
J665482	1002	780.697	7.9124	0.420572
J665726	266	85.387	0	0
J665909	1762	1540.7	0	0
J667033	778	556.754	2.22723	0.166003
J667377	370	164.626	2.35611	0.593896
J667537	1730	1508.7	6.83061	0.187876
J667539	2315	2093.7	9.1275	0.180906
J667793	1702	1480.7	0	0
J667984	1117	895.697	15.0389	0.696735
J668464	1792	1570.7	0	0
J668560	1582	1360.7	11.3015	0.344659
J668573	1947	1725.7	23.3266	0.560921
J668805	740	518.754	3.01087	0.240849
J669603	1604	1382.7	5.99609	0.179951
J669748	338	138.498	4.80306	1.43909
J669971	1458	1236.7	47.5352	1.59502
J670222	349	147.542	0	0
J670309	1434	1212.7	20.3482	0.696286
J671295	342	141.785	4.85341	1.42046
J671371	2878	2656.7	0	0
J671452	3071	2849.7	0.00373043	5.43218e-05
J671504	898	676.697	384.057	23.5514
J671654	943	721.697	5.59309	0.321596
J671700	1174	952.697	19.1777	0.835327
J672475	2101	1879.7	10.3305	0.228059
J672560	1113	891.697	98.0749	4.56409
J672980	1321	1099.7	17.8992	0.675423
J673038	520	301.756	8.15086	1.12089
J673134	643	422.26	8.12523	0.79849
J673386	4404	4182.7	86.2972	0.856159
J673736	434	220.788	12.2183	2.29641
J674049	836	614.697	13.501	0.911422
J674065	876	654.697	11.1487	0.706638
J674392	741	519.754	0	0
J674659	538	319.162	0	0
J674767	1673	1451.7	57.9552	1.65665
J675022	2394	2172.7	40.4783	0.773103
J675072	3284	3062.7	53.0844	0.719245
J676577	1075	853.697	6.93504	0.337101
J676757	1968	1746.7	17.1173	0.406661
J677126	2190	1968.7	27.2199	0.573748
J677325	1838	1616.7	12.3934	0.318109
J677436	2119	1897.7	38.0155	0.831282
J677752	769	547.754	5.01402	0.379852
J677849	341	140.895	8.05774	2.37319
J677856	317	121.976	1.38211	0.470201
J678607	4284	4062.7	109.604	1.1195
R664474	919	697.697	67.8559	4.03585
R664611	1237	1015.7	0	0
R664841	3152	2930.7	1.81979	0.025767
R668588	861	639.697	0	0
